equipment_id,equipment_name,description,promotion_level,craft_flg,equipment_enhance_point,sale_price,require_level,hp,atk,magic_str,def,magic_def,physical_critical,magic_critical,wave_hp_recovery,wave_energy_recovery,dodge,physical_penetrate,magic_penetrate,life_steal,hp_recovery_rate,energy_recovery_rate,energy_reduce_rate,enable_donation,accuracy
130011,"喵王腰带","日和莉所佩戴的腰带。\n带扣上是一只怒目圆睁的野兽，\n能够鼓舞战斗本能，赋予\n她的双拳更强的力量。",98,1,0,0,1,0.0,94.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130021,"绽放希望","优衣所佩戴的发箍。\n上面可爱的花型蕾丝\n与装饰提高了守护同伴\n的治愈之力。",98,1,0,0,1,0.0,0.0,46.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0
130031,"盖尔手套","怜经常使用的的手套。穿上这对\n攻守合一的手套所打出\n的每一拳，会击溃挡在\n前方的任何敌人。",98,1,0,0,1,110.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130051,"正义勋章","颁授自骑士团\n的勋章。茉莉非常珍惜它。每当看到闪闪发光的勋章，\n茉莉的正义感就会倍增，\n无论面对何种恶势力都绝不退缩。",98,1,0,0,1,130.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130061,"恶魔三叉戟","茜里十分珍爱的一把魔枪。武\n器中蕴藏的强大魔力，可让小恶\n魔华丽地变身成性感的\n魔女。",98,1,0,0,1,0.0,0.0,72.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130091,"螺旋灵击疾风飞剑","疾风之冥姬所使用的魔装。凡人使用的瞬间就会被魔法吞噬变成废人。当刀刃上闪耀起不祥的深蓝色光芒时，黑暗将化为疾风，把愚者送入地狱。",98,1,0,0,1,0.0,0.0,90.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130111,"阳焰之箭","璃乃专用的魔法箭，寄宿着炽烈的火焰。火焰来源于热情的内心，每一箭，都有着令其引以为傲的高威力，拥有一招制胜的潜力。",98,1,0,0,1,0.0,92.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130121,"流星☆蝴蝶结","妹妹栞亲手做来送给初音的\n蝴蝶结。星星里寄托了栞的思念，\n与姐姐的魔力相呼应\n能降低敌方魔法防御力。",98,1,0,0,1,0.0,0.0,88.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130151,"神爱头纱","美里所佩戴的头纱。\n美里的慈爱从圣洁的头纱之中\n流溢而出，振奋众人精神，\n能提升魔法暴击。",98,1,0,0,1,0.0,0.0,51.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0
130171,"球阳唐手秘籍","记载着香织所施展的琉球空手道奥义\n的卷轴。据说，上面施加有特殊的法术，只会对高手的练气产生反应，\n并浮现出\n文字。",98,1,0,0,1,0.0,94.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
130181,"性感之鞭","伊绪当作教鞭使用的鞭子。\n不管是多乏味的学业，\n一经伊绪之手\n就会变成甜蜜的时光。",98,1,0,0,1,0.0,0.0,85.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0
130211,"纯洁铃铛","胡桃当作护身符的铃铛。\n从外观庄严的铃铛中奏出的\n清脆铃声，能给予怯懦的心灵\n勇气。",98,1,0,0,1,100.0,0.0,0.0,8.0,8.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
